IMAGE,JNAME,RA,DEC
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Rubin SV 38 7/J022810.1+071324.6.png"")",J022810.1+071324.6,37.04204,7.2235
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Rubin SV 38 7/J022852.3+063224.7.png"")",J022852.3+063224.7,37.21779,6.54018
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Rubin SV 38 7/J022946.8+064004.9.png"")",J022946.8+064004.9,37.44504,6.66803
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Rubin SV 38 7/J022951.0+075218.3.png"")",J022951.0+075218.3,37.4625,7.87175
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Rubin SV 38 7/J023046.0+072520.0.png"")",J023046.0+072520.0,37.69183,7.42222
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Rubin SV 38 7/J023122.4+065854.2.png"")",J023122.4+065854.2,37.84346,6.98171
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Rubin SV 38 7/J023125.8+073105.3.png"")",J023125.8+073105.3,37.85746,7.51813
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Rubin SV 38 7/J023154.5+074409.9.png"")",J023154.5+074409.9,37.97725,7.73609
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Rubin SV 38 7/J023154.7+062147.4.png"")",J023154.7+062147.4,37.97808,6.36317
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Rubin SV 38 7/J023233.3+063248.9.png"")",J023233.3+063248.9,38.13862,6.54692
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Rubin SV 38 7/J023243.5+075027.5.png"")",J023243.5+075027.5,38.18142,7.84097
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Rubin SV 38 7/J023252.2+062604.7.png"")",J023252.2+062604.7,38.21767,6.43464
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Rubin SV 38 7/J023254.7+074945.9.png"")",J023254.7+074945.9,38.22787,7.82941
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Rubin SV 38 7/J023259.6+055950.3.png"")",J023259.6+055950.3,38.24833,5.99731
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Rubin SV 38 7/J023323.8+055957.8.png"")",J023323.8+055957.8,38.349,5.9994
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Rubin SV 38 7/J023357.2+064241.4.png"")",J023357.2+064241.4,38.48854,6.71151
